::1 - - [05/Jun/2021:20:32:20 +0000] "GET /users/ HTTP/1.1" 304 -
2021-06-05T21:59:34.621Z GET /users - 200 - 9.196 ms
2021-06-05T21:59:34.722Z POST /users - 201 - 3.743 ms
2021-06-05T21:59:34.736Z GET /users/457cb399-a121-467c-8344-51cf4f7d71a6 - 200 - 3.795 ms
2021-06-05T21:59:34.750Z DELETE /users/457cb399-a121-467c-8344-51cf4f7d71a6 - 204 - 2.479 ms
2021-06-05T21:59:34.769Z POST /users - 201 - 0.702 ms
2021-06-05T21:59:34.787Z DELETE /users/ee372b16-d63f-45b3-9883-85524b63eab9 - 204 - 2.076 ms
2021-06-05T21:59:34.803Z POST /users - 201 - 0.985 ms
2021-06-05T21:59:34.823Z PUT /users/4bb10205-c000-4682-bb17-19f4f37c7c58 - 200 - 7.535 ms
2021-06-05T21:59:34.833Z GET /users/4bb10205-c000-4682-bb17-19f4f37c7c58 - 200 - 1.339 ms
2021-06-05T21:59:34.845Z DELETE /users/4bb10205-c000-4682-bb17-19f4f37c7c58 - 204 - 2.410 ms
2021-06-05T21:59:34.859Z POST /users - 201 - 0.606 ms
2021-06-05T21:59:34.869Z DELETE /users/f88631e6-d3c0-4c92-b9a0-aa1d34239c1c - 204 - 1.677 ms
2021-06-05T21:59:34.879Z POST /users - 201 - 0.560 ms
2021-06-05T21:59:34.892Z POST /boards - 201 - 1.087 ms
2021-06-05T21:59:34.908Z POST /boards/9df121b7-7732-4c78-bb9f-343e2aa00810/tasks - 201 - 1.775 ms
2021-06-05T21:59:34.914Z POST /boards/9df121b7-7732-4c78-bb9f-343e2aa00810/tasks - 201 - 0.688 ms
2021-06-05T21:59:34.925Z DELETE /users/98a63aeb-9e61-4268-9539-a6fdbbfa4a88 - 204 - 2.104 ms
2021-06-05T21:59:34.937Z GET /boards/9df121b7-7732-4c78-bb9f-343e2aa00810/tasks/5398e064-9967-419c-8ec9-779e7f04cbde - 200 - 4.091 ms
2021-06-05T21:59:34.951Z GET /boards/9df121b7-7732-4c78-bb9f-343e2aa00810/tasks/7608102f-75d5-408f-b9bb-6e9add54ae42 - 200 - 1.585 ms
2021-06-05T21:59:34.962Z DELETE /boards/9df121b7-7732-4c78-bb9f-343e2aa00810/tasks/5398e064-9967-419c-8ec9-779e7f04cbde - 204 - 2.107 ms
2021-06-05T21:59:34.973Z DELETE /boards/9df121b7-7732-4c78-bb9f-343e2aa00810/tasks/7608102f-75d5-408f-b9bb-6e9add54ae42 - 204 - 1.646 ms
2021-06-05T21:59:34.986Z DELETE /boards/9df121b7-7732-4c78-bb9f-343e2aa00810 - 204 - 2.926 ms
